NAICS,Demand for,Demand met In-region,% Demand met In-region,Demand met by Imports,% Demand met by Imports,Total Demand
114111,Finfish Fishing,"$5,049",2.2%,"$221,904",97.8%,"$226,953"
445250,Fish and Seafood Retailers,"$15,656",6.9%,"$209,957",93.1%,"$225,613"
325920,Explosives Manufacturing,"$7,712",3.4%,"$217,743",96.6%,"$225,455"
712190,Nature Parks and Other Similar Institutions,"$3,637",1.6%,"$220,496",98.4%,"$224,133"
331221,Rolled Steel Shape Manufacturing,"$3,253",1.5%,"$220,050",98.5%,"$223,303"
561421,Telephone Answering Services,"$6,463",2.9%,"$215,278",97.1%,"$221,741"
711190,Other Performing Arts Companies,"$11,551",5.2%,"$210,095",94.8%,"$221,645"
561622,Locksmiths,"$7,529",3.5%,"$208,716",96.5%,"$216,245"
561613,Armored Car Services,"$1,028",0.5%,"$211,134",99.5%,"$212,162"
311212,Rice Milling,$0,0.0%,"$211,331",100.0%,"$211,331"
212220,Gold Ore and Silver Ore Mining,$473,0.2%,"$210,608",99.8%,"$211,081"
114112,Shellfish Fishing,"$1,654",0.8%,"$207,846",99.2%,"$209,500"
332811,Metal Heat Treating,"$11,071",5.3%,"$197,542",94.7%,"$208,613"
488991,Packing and Crating,"$12,277",5.9%,"$195,581",94.1%,"$207,858"
315990,Apparel Accessories and Other Apparel Manufacturing,"$6,127",3.0%,"$199,829",97.0%,"$205,956"
488999,All Other Support Activities for Transportation,"$5,131",2.6%,"$194,819",97.4%,"$199,950"
902611,Elementary and Secondary Schools (State Government),$0,0.0%,"$199,626",100.0%,"$199,626"
541360,Geophysical Surveying and Mapping Services,"$38,806",19.6%,"$159,279",80.4%,"$198,085"
335131,Residential Electric Lighting Fixture Manufacturing,$960,0.5%,"$197,096",99.5%,"$198,056"
331314,Secondary Smelting and Alloying of Aluminum,$16,0.0%,"$193,252",100.0%,"$193,268"
551111,Offices of Bank Holding Companies,"$9,173",4.8%,"$180,363",95.2%,"$189,535"
333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing",$10,0.0%,"$188,601",100.0%,"$188,611"
512290,Other Sound Recording Industries,"$1,231",0.7%,"$187,116",99.3%,"$188,347"
333515,Cutting Tool and Machine Tool Accessory Manufacturing,"$12,845",6.8%,"$174,860",93.2%,"$187,705"
323117,Books Printing,"$2,034",1.1%,"$183,546",98.9%,"$185,580"
561591,Convention and Visitors Bureaus,$495,0.3%,"$184,588",99.7%,"$185,083"
611692,Automobile Driving Schools,"$70,085",38.3%,"$112,887",61.7%,"$182,972"
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding","$5,544",3.1%,"$173,647",96.9%,"$179,191"
332618,Other Fabricated Wire Product Manufacturing,"$1,040",0.6%,"$177,121",99.4%,"$178,161"
532282,Video Tape and Disc Rental,"$132,219",74.3%,"$45,772",25.7%,"$177,991"
325992,"Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing","$14,373",8.2%,"$160,358",91.8%,"$174,731"
