NAICS,Demand for,Demand met In-region,% Demand met In-region,Demand met by Imports,% Demand met by Imports,Total Demand
311421,Fruit and Vegetable Canning,$515,0.0%,"$2,206,584",100.0%,"$2,207,099"
621512,Diagnostic Imaging Centers,"$26,692",1.2%,"$2,164,762",98.8%,"$2,191,455"
333111,Farm Machinery and Equipment Manufacturing,"$1,436",0.1%,"$2,182,343",99.9%,"$2,183,779"
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",$148,0.0%,"$2,181,102",100.0%,"$2,181,251"
311991,Perishable Prepared Food Manufacturing,"$19,900",0.9%,"$2,154,795",99.1%,"$2,174,695"
541380,Testing Laboratories and Services,"$19,232",0.9%,"$2,146,098",99.1%,"$2,165,330"
812910,Pet Care (except Veterinary) Services,"$18,671",0.9%,"$2,136,678",99.1%,"$2,155,349"
516120,Television Broadcasting Stations,"$9,602",0.4%,"$2,141,646",99.6%,"$2,151,248"
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",$709,0.0%,"$2,147,355",100.0%,"$2,148,064"
711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities","$27,781",1.3%,"$2,118,634",98.7%,"$2,146,415"
485410,School and Employee Bus Transportation,$184,0.0%,"$2,138,055",100.0%,"$2,138,239"
423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,"$12,995",0.6%,"$2,102,564",99.4%,"$2,115,559"
445320,"Beer, Wine, and Liquor Retailers","$168,139",8.0%,"$1,943,656",92.0%,"$2,111,795"
449129,All Other Home Furnishings Retailers,"$125,187",5.9%,"$1,982,400",94.1%,"$2,107,588"
523999,Miscellaneous Financial Investment Activities,"$21,364",1.0%,"$2,079,695",99.0%,"$2,101,059"
492210,Local Messengers and Local Delivery,"$8,086",0.4%,"$2,077,332",99.6%,"$2,085,418"
441227,"Motorcycle, ATV, and All Other Motor Vehicle Dealers","$147,718",7.1%,"$1,927,506",92.9%,"$2,075,224"
238120,Structural Steel and Precast Concrete Contractors,"$255,306",12.3%,"$1,819,794",87.7%,"$2,075,100"
325611,Soap and Other Detergent Manufacturing,"$20,876",1.0%,"$2,052,350",99.0%,"$2,073,225"
551112,Offices of Other Holding Companies,"$33,709",1.6%,"$2,034,618",98.4%,"$2,068,327"
333310,Commercial and Service Industry Machinery Manufacturing,"$7,751",0.4%,"$2,053,363",99.6%,"$2,061,114"
335220,Major Household Appliance Manufacturing,"$3,197",0.2%,"$2,035,920",99.8%,"$2,039,117"
324121,Asphalt Paving Mixture and Block Manufacturing,"$3,144",0.2%,"$2,032,005",99.8%,"$2,035,148"
561990,All Other Support Services,"$222,181",10.9%,"$1,811,885",89.1%,"$2,034,066"
423840,Industrial Supplies Merchant Wholesalers,"$17,002",0.8%,"$2,006,867",99.2%,"$2,023,870"
324122,Asphalt Shingle and Coating Materials Manufacturing,$0,0.0%,"$1,999,668",100.0%,"$1,999,668"
238130,Framing Contractors,"$75,213",3.8%,"$1,923,149",96.2%,"$1,998,362"
712110,Museums,"$68,893",3.5%,"$1,922,110",96.5%,"$1,991,002"
561599,All Other Travel Arrangement and Reservation Services,"$12,907",0.7%,"$1,952,562",99.3%,"$1,965,469"
561422,Telemarketing Bureaus and Other Contact Centers,"$183,650",9.4%,"$1,779,306",90.6%,"$1,962,956"
423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,"$14,804",0.8%,"$1,945,692",99.2%,"$1,960,496"
325413,In-Vitro Diagnostic Substance Manufacturing,"$13,376",0.7%,"$1,943,100",99.3%,"$1,956,475"
322120,Paper Mills,"$15,952",0.8%,"$1,936,198",99.2%,"$1,952,150"
325193,Ethyl Alcohol Manufacturing,$0,0.0%,"$1,935,745",100.0%,"$1,935,745"
517121,Telecommunications Resellers,"$15,644",0.8%,"$1,912,953",99.2%,"$1,928,596"
325510,Paint and Coating Manufacturing,"$15,296",0.8%,"$1,912,825",99.2%,"$1,928,121"
525120,Health and Welfare Funds,"$9,235",0.5%,"$1,910,197",99.5%,"$1,919,432"
624310,Vocational Rehabilitation Services,"$713,148",37.3%,"$1,198,173",62.7%,"$1,911,321"
331110,Iron and Steel Mills and Ferroalloy Manufacturing,"$9,548",0.5%,"$1,901,309",99.5%,"$1,910,858"
445298,All Other Specialty Food Retailers,"$5,445",0.3%,"$1,904,542",99.7%,"$1,909,987"
483211,Inland Water Freight Transportation,"$4,306",0.2%,"$1,888,633",99.8%,"$1,892,939"
325411,Medicinal and Botanical Manufacturing,"$5,763",0.3%,"$1,881,399",99.7%,"$1,887,161"
449121,Floor Covering Retailers,"$6,181",0.3%,"$1,879,275",99.7%,"$1,885,457"
541820,Public Relations Agencies,"$11,191",0.6%,"$1,869,877",99.4%,"$1,881,068"
513120,Periodical Publishers,"$962,052",51.3%,"$913,371",48.7%,"$1,875,423"
332710,Machine Shops,"$45,634",2.4%,"$1,817,471",97.6%,"$1,863,105"
513110,Newspaper Publishers,"$99,456",5.3%,"$1,761,210",94.7%,"$1,860,665"
459120,"Hobby, Toy, and Game Retailers","$11,602",0.6%,"$1,846,891",99.4%,"$1,858,493"
541618,Other Management Consulting Services,"$7,352",0.4%,"$1,844,459",99.6%,"$1,851,811"
611430,Professional and Management Development Training,"$161,975",8.8%,"$1,682,752",91.2%,"$1,844,727"
311999,All Other Miscellaneous Food Manufacturing,"$22,356",1.2%,"$1,816,708",98.8%,"$1,839,064"
423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers",$593,0.0%,"$1,832,288",100.0%,"$1,832,880"
811210,Electronic and Precision Equipment Repair and Maintenance,"$325,122",17.8%,"$1,504,433",82.2%,"$1,829,555"
325211,Plastics Material and Resin Manufacturing,$186,0.0%,"$1,828,969",100.0%,"$1,829,155"
423710,Hardware Merchant Wholesalers,"$1,186",0.1%,"$1,826,967",99.9%,"$1,828,153"
424480,Fresh Fruit and Vegetable Merchant Wholesalers,"$63,785",3.5%,"$1,747,646",96.5%,"$1,811,431"
339999,All Other Miscellaneous Manufacturing,"$2,902",0.2%,"$1,802,781",99.8%,"$1,805,683"
334519,Other Measuring and Controlling Device Manufacturing,"$1,299",0.1%,"$1,799,686",99.9%,"$1,800,985"
513199,All Other Publishers,"$4,661",0.3%,"$1,794,685",99.7%,"$1,799,346"
488190,Other Support Activities for Air Transportation,"$3,947",0.2%,"$1,794,214",99.8%,"$1,798,161"
213111,Drilling Oil and Gas Wells,"$2,270",0.1%,"$1,792,896",99.9%,"$1,795,166"
423930,Recyclable Material Merchant Wholesalers,"$17,321",1.0%,"$1,762,325",99.0%,"$1,779,646"
722320,Caterers,"$102,322",5.8%,"$1,672,726",94.2%,"$1,775,049"
238150,Glass and Glazing Contractors,"$108,701",6.1%,"$1,666,183",93.9%,"$1,774,884"
238340,Tile and Terrazzo Contractors,"$235,025",13.3%,"$1,530,087",86.7%,"$1,765,112"
336214,Travel Trailer and Camper Manufacturing,"$15,662",0.9%,"$1,749,108",99.1%,"$1,764,770"
327390,Other Concrete Product Manufacturing,"$10,164",0.6%,"$1,750,662",99.4%,"$1,760,826"
623990,Other Residential Care Facilities,"$1,172,454",68.6%,"$536,676",31.4%,"$1,709,131"
326160,Plastics Bottle Manufacturing,"$20,078",1.2%,"$1,678,478",98.8%,"$1,698,557"
326211,Tire Manufacturing (except Retreading),"$1,774",0.1%,"$1,693,624",99.9%,"$1,695,399"
541614,"Process, Physical Distribution, and Logistics Consulting Services","$242,858",14.5%,"$1,436,191",85.5%,"$1,679,049"
